product_id,category,avg_price,avg_rating,review_count,popularity_rank
B002PD61Y4,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507.0,4.1,16262.0,A
B002SZEOLG,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,749.0,4.2,179692.0,A
B003B00484,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,399.0,4.3,27201.0,A
B003L62T7W,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",279.0,4.3,31534.0,A
B004IO5BMQ,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",699.0,4.5,54405.0,A
B005FYNT3G,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,289.0,4.3,253105.0,A
B005LJQMCK,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",416.0,4.2,30023.0,A
B005LJQMZC,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",486.0,4.2,30023.0,A
B006LW0WDQ,"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",399.0,4.4,12091.0,A
B0073QGKAS,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,1499.0,4.3,9331.0,A
B0083T231O,Electronics|PowerAccessories|SurgeProtectors,1289.0,4.5,20668.0,A
B0085IATT6,Computers&Accessories|NetworkingDevices|Routers,899.0,4.1,22375.0,A
B0085W2MUQ,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,765.0,4.2,6055.0,A
B0088TKTY2,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,649.0,4.2,179691.0,A
B008FWZGSG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599.0,4.3,710.0,B
B008IFXQFU,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499.0,4.2,179691.0,A
B008LN8KDM,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1849.0,4.3,7681.0,A
B008P7IF02,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",4799.0,3.9,3815.0,A
B008QS9J6Y,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,1990.0,4.3,20398.0,A
B008QTK47Q,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1614.0,4.3,37974.0,A
B008YW3CYM,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",616.0,4.1,37126.0,A
B008YW8M0G,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",775.0,4.2,46647.0,A
B00935MD1C,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,2719.0,3.7,13406.0,A
B00935MGHS,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,1199.0,4.2,5967.0,A
B009DA69W6,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,1699.0,3.6,11456.0,A
B009LJ2BXA,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,649.0,3.5,7222.0,A
B009P2L7CO,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",1099.0,4.2,9772.0,A
B009P2LIL4,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2219.0,3.6,468.0,B
B009P2LITG,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",2169.0,4.1,1716.0,A
B009P2LK08,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",749.0,4.0,2446.0,A
B009P2LK80,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",1409.0,3.7,787.0,B
B009UORDX4,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",949.0,4.3,7223.0,A
B009VCGPSY,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",269.0,4.3,54315.0,A
B00A0VCJPI,Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1469.0,4.2,156638.0,A
B00A328ENA,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,2976.0,4.2,3740.0,A
B00A7PLVU6,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,753.0,4.2,18462.0,A
B00ABMASXG,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",539.0,4.1,36017.0,A
B00AXHBBXU,OfficeProducts|OfficeElectronics|Calculators|Scientific,522.0,4.4,12179.0,A
B00B3VFJY2,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,980.0,4.2,4740.0,A
B00B7GKXMG,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",699.0,4.1,1106.0,A
B00BN5SNF0,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,250.0,3.9,13971.0,A
B00C3GBCIS,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,249.0,4.2,22860.0,A
B00CEQEGPI,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1345.0,4.2,17413.0,A
B00DJ5N9VK,Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,150.0,4.3,15867.0,A
B00E3DVQFS,Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,879.0,4.4,31599.0,A
B00E9G8KOY,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,600.0,4.1,10907.0,A
B00EDJJ7FS,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,3229.0,4.2,39724.0,A
B00EYW1U68,Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1599.0,4.2,16182.0,A
B00F159RIK,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",499.0,4.2,5355.0,A
B00GE55L22,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,4.1,2957.0,A
B00GG59HU2,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",467.0,4.4,44054.0,A
B00GGGOYEK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,259.0,3.8,2399.0,A
B00GGGOYEU,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,3.9,1454.0,A
B00GHL8VP2,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",3487.77,4.1,1127.0,A
B00GZLB57U,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,238.0,4.4,8372.0,A
B00H0B29DI,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2199.0,3.8,1558.0,A
B00H3H03Q4,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,1130.0,4.2,13250.0,A
B00H47GVGY,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",1199.0,3.6,13300.0,A
B00HVXS7WC,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1999.0,4.2,41349.0,A
B00HZIOGXW,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",610.0,4.1,13165.0,A
B00J4YG0PC,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",561.0,4.4,3182.0,A
B00J5DYCCA,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",1399.0,4.0,8031.0,A
B00JBNZPFM,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",6199.0,4.2,10429.0,A
B00K32PEW4,OfficeProducts|OfficeElectronics|Calculators|Financial&Business,535.0,4.4,4426.0,A
B00K57MR22,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,6120.0,4.6,6550.0,A
B00KIDSU8S,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",1999.0,4.2,7801.0,A
B00KIE28X0,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,310.0,4.5,5882.0,A
B00KRCBA6E,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",2499.0,3.8,1889.0,A
B00KXULGJQ,Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1889.0,4.2,49551.0,A
B00LHZW3XY,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",125.0,4.4,8053.0,A
B00LHZWD0C,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",252.0,4.5,3785.0,A
B00LM4W1N2,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",480.0,4.3,5719.0,A
B00LM4X0KU,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",100.0,4.3,3095.0,A
B00LM4X3XE,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",90.0,4.3,3061.0,A
B00LOD70SC,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",178.0,4.3,2450.0,A
B00LP9RFSU,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,825.0,4.0,3246.0,A
B00LUGTJGO,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",1399.0,3.9,2602.0,A
B00LVMTA2A,Electronics|GeneralPurposeBatteries&BatteryChargers,225.0,4.4,26556.0,A
B00LXTFMRS,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,191.0,4.4,7203.0,A
B00LY12TH6,Home&Kitchen|CraftMaterials|PaintingMaterials,230.0,4.5,9427.0,A
B00LY17RHI,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",225.0,4.1,4798.0,A
B00LY1FN1K,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,200.0,4.4,10170.0,A
B00LZLPYHW,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",137.0,4.4,6537.0,A
B00LZLQ624,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",157.0,4.5,8618.0,A
B00LZPQVMK,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",272.0,4.0,3686.0,A
B00MFPCY5C,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",39.0,3.5,15233.0,A
B00MUTWLW4,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",2595.0,4.4,22618.0,A
B00N1U7JXM,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",90.0,4.4,7429.0,A
B00N1U9AJS,Home&Kitchen|CraftMaterials|Scrapbooking|Tape,130.0,3.9,14778.0,A
B00N3XLDW0,Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,299.0,3.8,40895.0,A
B00NFD0ETQ,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,1995.0,4.6,10760.0,A
B00NH11KIK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209.0,4.5,215373.0,A
B00NH11PEY,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,4.5,149952.0,A
B00NH12R1O,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,4.3,10911.0,A
B00NH13Q8W,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,4.5,74977.0,A
B00NM6MO26,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,2698.0,4.0,15034.0,A
B00NNQMYNE,Computers&Accessories|Accessories&Peripherals|HardDiskBags,299.0,4.5,21010.0,A
B00NW4UWN6,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,1043.0,3.8,15592.0,A
B00O24PUO6,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",1464.0,4.1,14120.0,A
B00O2R38C4,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",999.0,4.1,12999.0,A
B00OFM6PEO,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,4.3,1902.0,A
B00P0R95EA,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",510.0,4.1,7229.0,A
B00P93X0VO,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",114.0,4.2,8938.0,A
B00P93X2H6,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",67.0,4.1,1269.0,A
B00P93X6EK,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",157.0,4.5,4428.0,A
B00PVT30YI,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",292.0,4.1,4238.0,A
B00R1P3B4O,Electronics|Cameras&Photography|Accessories|Film,549.0,4.5,4875.0,A
B00RFWNJMC,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",195.0,3.7,1383.0,A
B00RGLI0ZS,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,449.0,4.0,3231.0,A
B00S2SEV7K,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",90.0,4.1,6199.0,A
B00S9BSJC8,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,6499.0,4.3,2810.0,A
B00SH18114,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,160.0,4.6,2781.0,A
B00SMFPJG0,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,649.0,4.1,7786.0,A
B00SMJPA9C,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",499.0,4.1,3036.0,A
B00TDD0YM4,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",1490.0,4.4,3543.0,A
